id,project_id,source_type,source_id,summary,key_points,created_at,updated_at
SUM-DOC-0001,PROJ-001,document,DOC-0001,문서ID: DOC-0001 작성일: 2025-06-25 문서유형: 주간 운영 회의록 작성자: 김도윤 관련팀: 운영총괄팀 고객사: Daesung Automotive 구매처: TE Connectivity Korea 품목: AP-CN-204 커넥터 관련이슈: ISS-2025-006 / Daesung Automotive 긴급 발,관련 이슈: ISS-2025-006; 관련팀: 운영총괄팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0002,PROJ-001,document,DOC-0002,문서ID: DOC-0002 작성일: 2025-06-03 문서유형: 고객 불만 메일 작성자: 정하늘 관련팀: 영업관리팀 고객사: Mirae EV Systems 구매처: KET Supplier 품목: AP-RL-450 릴레이 관련이슈: 일반 운영 / 정기 운영 확인 Mirae EV Systems 관련 AP-RL-450 릴레이,관련 이슈: ; 관련팀: 영업관리팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0003,PROJ-001,document,DOC-0003,문서ID: DOC-0003 작성일: 2025-06-15 문서유형: 고객 발주 메일 작성자: 박서연 관련팀: 영업관리팀 고객사: Daesung Automotive 구매처: TE Connectivity Korea 품목: AP-CN-204 커넥터 관련이슈: ISS-2025-006 / Daesung Automotive 긴급 발주,관련 이슈: ISS-2025-006; 관련팀: 영업관리팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0004,PROJ-001,document,DOC-0004,문서ID: DOC-0004 작성일: 2025-06-25 문서유형: 리드타임 변경 공지 작성자: 강민호 관련팀: 구매팀 고객사: Daesung Automotive 구매처: TE Connectivity Korea 품목: AP-CN-204 커넥터 관련이슈: ISS-2025-006 / Daesung Automotive 긴급 발주,관련 이슈: ISS-2025-006; 관련팀: 구매팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0005,PROJ-001,document,DOC-0005,문서ID: DOC-0005 작성일: 2025-06-15 문서유형: 구매처 재고 부족 안내 작성자: 강민호 관련팀: 구매팀 고객사: Daesung Automotive 구매처: TE Connectivity Korea 품목: AP-CN-204 커넥터 관련이슈: ISS-2025-006 / Daesung Automotive 긴급 ,관련 이슈: ISS-2025-006; 관련팀: 구매팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0006,PROJ-001,document,DOC-0006,문서ID: DOC-0006 작성일: 2025-06-21 문서유형: 출고 로그 작성자: 문태준 관련팀: 물류팀 고객사: Daesung Automotive 구매처: TE Connectivity Korea 품목: AP-CN-204 커넥터 관련이슈: ISS-2025-006 / Daesung Automotive 긴급 발주 대응 D,관련 이슈: ISS-2025-006; 관련팀: 물류팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0007,PROJ-001,document,DOC-0007,문서ID: DOC-0007 작성일: 2025-06-07 문서유형: 불량 원인 분석 메모 작성자: 한지우 관련팀: 품질 클레임팀 고객사: Daesung Automotive 구매처: TE Connectivity Korea 품목: AP-CN-204 커넥터 관련이슈: ISS-2025-006 / Daesung Automotive ,관련 이슈: ISS-2025-006; 관련팀: 품질 클레임팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0008,PROJ-001,document,DOC-0008,문서ID: DOC-0008 작성일: 2025-06-03 문서유형: 인수인계 준비 회의록 작성자: 김도윤 관련팀: 운영총괄팀 고객사: Global Harness Vietnam 구매처: Local Cable Works 품목: AP-WH-220 와이어하네스 관련이슈: 일반 운영 / 정기 운영 확인 Global Harness V,관련 이슈: ; 관련팀: 운영총괄팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0009,PROJ-001,document,DOC-0009,문서ID: DOC-0009 작성일: 2025-06-29 문서유형: 출고 로그 작성자: 문태준 관련팀: 물류팀 고객사: Daesung Automotive 구매처: TE Connectivity Korea 품목: AP-CN-204 커넥터 관련이슈: ISS-2025-006 / Daesung Automotive 긴급 발주 대응 D,관련 이슈: ISS-2025-006; 관련팀: 물류팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0010,PROJ-001,document,DOC-0010,문서ID: DOC-0010 작성일: 2025-06-11 문서유형: 단가 협상 메일 작성자: 정하늘 관련팀: 영업관리팀 고객사: Daesung Automotive 구매처: TE Connectivity Korea 품목: AP-CN-204 커넥터 관련이슈: ISS-2025-006 / Daesung Automotive 긴급 발주,관련 이슈: ISS-2025-006; 관련팀: 영업관리팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0011,PROJ-001,document,DOC-0011,문서ID: DOC-0011 작성일: 2025-06-18 문서유형: 고객 납기 문의 작성자: 정하늘 관련팀: 영업관리팀 고객사: Daesung Automotive 구매처: TE Connectivity Korea 품목: AP-CN-204 커넥터 관련이슈: ISS-2025-006 / Daesung Automotive 긴급 발주,관련 이슈: ISS-2025-006; 관련팀: 영업관리팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0012,PROJ-001,document,DOC-0012,문서ID: DOC-0012 작성일: 2025-06-15 문서유형: 주간 운영 회의록 작성자: 김도윤 관련팀: 운영총괄팀 고객사: Daesung Automotive 구매처: TE Connectivity Korea 품목: AP-CN-204 커넥터 관련이슈: ISS-2025-006 / Daesung Automotive 긴급 발,관련 이슈: ISS-2025-006; 관련팀: 운영총괄팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0013,PROJ-001,document,DOC-0013,문서ID: DOC-0013 작성일: 2025-07-11 문서유형: 수출 고객 커뮤니케이션 메일 작성자: 정하늘 관련팀: 영업관리팀 고객사: Hanil Motors 구매처: TE Connectivity Korea 품목: AP-RL-450 릴레이 관련이슈: ISS-2025-007 / Hanil Motors 정기 발주 수량 변,관련 이슈: ISS-2025-007; 관련팀: 영업관리팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0014,PROJ-001,document,DOC-0014,문서ID: DOC-0014 작성일: 2025-07-25 문서유형: 주간 운영 회의록 작성자: 김도윤 관련팀: 운영총괄팀 고객사: Daesung Automotive 구매처: Yazaki Parts Asia 품목: AP-RL-450 릴레이 관련이슈: 일반 운영 / 정기 운영 확인 Daesung Automotive 관련 AP-,관련 이슈: ; 관련팀: 운영총괄팀,2026-06-01T09:00:00,2026-06-01T09:00:00
