id,project_id,entity_type,title,summary,status,priority,owner_member_id,department_id,occurred_at,due_at,created_at,updated_at,deleted_at
BE-ORDER-0001,PROJ-001,customer_order,고객 주문 ORD-00001,CUS-005 AP-CB-510 3979개 주문,closed,medium,PM-003,DEPT-002,2025-08-08,2025-09-14,2025-08-08T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0002,PROJ-001,customer_order,고객 주문 ORD-00002,CUS-001 AP-TM-118 569개 주문,shipped,medium,PM-002,DEPT-002,2026-04-04,2026-04-29,2026-04-04T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0003,PROJ-001,customer_order,고객 주문 ORD-00003,CUS-002 AP-CN-204 2944개 주문,delayed,medium,PM-004,DEPT-002,2025-06-03,2025-07-02,2025-06-03T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0004,PROJ-001,customer_order,고객 주문 ORD-00004,CUS-002 AP-CN-204 3078개 주문,delayed,medium,PM-003,DEPT-002,2026-01-23,2026-03-03,2026-01-23T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0005,PROJ-001,customer_order,고객 주문 ORD-00005,CUS-003 AP-SC-330 5394개 주문,delayed,medium,PM-004,DEPT-002,2026-02-01,2026-02-09,2026-02-01T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0006,PROJ-001,customer_order,고객 주문 ORD-00006,CUS-004 AP-RL-450 2510개 주문,closed,medium,PM-003,DEPT-002,2025-06-21,2025-07-06,2025-06-21T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0007,PROJ-001,customer_order,고객 주문 ORD-00007,CUS-002 AP-CN-204 2735개 주문,closed,medium,PM-003,DEPT-002,2026-02-06,2026-03-05,2026-02-06T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0008,PROJ-001,customer_order,고객 주문 ORD-00008,CUS-001 AP-WH-220 5718개 주문,shipped,medium,PM-004,DEPT-002,2025-10-08,2025-11-03,2025-10-08T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0009,PROJ-001,customer_order,고객 주문 ORD-00009,CUS-003 AP-SC-330 4612개 주문,delayed,medium,PM-002,DEPT-002,2025-10-19,2025-11-02,2025-10-19T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0010,PROJ-001,customer_order,고객 주문 ORD-00010,CUS-001 AP-TM-118 5486개 주문,closed,medium,PM-004,DEPT-002,2026-02-26,2026-04-01,2026-02-26T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0011,PROJ-001,customer_order,고객 주문 ORD-00011,CUS-003 AP-SC-330 3090개 주문,closed,medium,PM-003,DEPT-002,2025-07-04,2025-08-14,2025-07-04T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0012,PROJ-001,customer_order,고객 주문 ORD-00012,CUS-003 AP-SC-330 3059개 주문,closed,medium,PM-002,DEPT-002,2025-07-15,2025-08-11,2025-07-15T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0013,PROJ-001,customer_order,고객 주문 ORD-00013,CUS-003 AP-SC-330 4663개 주문,delayed,medium,PM-002,DEPT-002,2025-09-08,2025-10-06,2025-09-08T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0014,PROJ-001,customer_order,고객 주문 ORD-00014,CUS-003 AP-SC-330 1033개 주문,confirmed,medium,PM-004,DEPT-002,2026-02-01,2026-02-25,2026-02-01T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0015,PROJ-001,customer_order,고객 주문 ORD-00015,CUS-002 AP-CN-204 820개 주문,shipped,medium,PM-003,DEPT-002,2025-11-14,2025-12-19,2025-11-14T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0016,PROJ-001,customer_order,고객 주문 ORD-00016,CUS-005 AP-TM-118 237개 주문,shipped,medium,PM-004,DEPT-002,2026-02-25,2026-03-19,2026-02-25T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0017,PROJ-001,customer_order,고객 주문 ORD-00017,CUS-001 AP-WH-220 5823개 주문,shipped,medium,PM-004,DEPT-002,2025-12-23,2026-01-02,2025-12-23T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0018,PROJ-001,customer_order,고객 주문 ORD-00018,CUS-005 AP-CB-510 3998개 주문,confirmed,medium,PM-002,DEPT-002,2025-10-16,2025-11-05,2025-10-16T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0019,PROJ-001,customer_order,고객 주문 ORD-00019,CUS-002 AP-RL-450 1782개 주문,shipped,medium,PM-004,DEPT-002,2026-03-17,2026-04-17,2026-03-17T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0020,PROJ-001,customer_order,고객 주문 ORD-00020,CUS-001 AP-WH-220 5814개 주문,confirmed,medium,PM-002,DEPT-002,2026-01-24,2026-03-02,2026-01-24T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0021,PROJ-001,customer_order,고객 주문 ORD-00021,CUS-001 AP-WH-220 5804개 주문,delayed,medium,PM-002,DEPT-002,2026-04-18,2026-06-01,2026-04-18T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0022,PROJ-001,customer_order,고객 주문 ORD-00022,CUS-003 AP-SC-330 4468개 주문,closed,medium,PM-004,DEPT-002,2026-03-28,2026-04-12,2026-03-28T09:00:00,2026-06-01T09:00:00,
