id,business_entity_id,project_id,customer_id,product_id,quantity,order_date,requested_delivery_date,status,sales_owner_member_id,related_issue_id,created_at,updated_at
ORD-00001,BE-ORDER-0001,PROJ-001,CUS-005,AP-CB-510,4042,2025-08-08,2025-09-13,closed,PM-003,ISS-2025-009,2025-08-08T09:00:00,2026-06-01T09:00:00
ORD-00002,BE-ORDER-0002,PROJ-001,CUS-001,AP-TM-118,2576,2026-04-04,2026-04-13,shipped,PM-002,ISS-2026-002,2026-04-04T09:00:00,2026-06-01T09:00:00
ORD-00003,BE-ORDER-0003,PROJ-001,CUS-002,AP-CN-204,3133,2025-06-03,2025-07-01,delayed,PM-004,ISS-2025-006,2025-06-03T09:00:00,2026-06-01T09:00:00
ORD-00004,BE-ORDER-0004,PROJ-001,CUS-002,AP-CN-204,4382,2026-01-23,2026-02-21,delayed,PM-003,ISS-2026-008,2026-01-23T09:00:00,2026-06-01T09:00:00
ORD-00005,BE-ORDER-0005,PROJ-001,CUS-003,AP-SC-330,392,2026-02-01,2026-03-03,confirmed,PM-002,ISS-2026-003,2026-02-01T09:00:00,2026-06-01T09:00:00
ORD-00006,BE-ORDER-0006,PROJ-001,CUS-004,AP-RL-450,4043,2025-12-13,2026-01-07,closed,PM-002,ISS-2025-012,2025-12-13T09:00:00,2026-06-01T09:00:00
ORD-00007,BE-ORDER-0007,PROJ-001,CUS-003,AP-TM-118,3379,2025-09-29,2025-10-28,delayed,PM-002,ISS-2026-001,2025-09-29T09:00:00,2026-06-01T09:00:00
ORD-00008,BE-ORDER-0008,PROJ-001,CUS-003,AP-CB-510,5468,2025-06-23,2025-07-17,confirmed,PM-003,ISS-2025-010,2025-06-23T09:00:00,2026-06-01T09:00:00
ORD-00009,BE-ORDER-0009,PROJ-001,CUS-003,AP-TM-118,4523,2025-07-30,2025-08-16,closed,PM-004,ISS-2026-009,2025-07-30T09:00:00,2026-06-01T09:00:00
ORD-00010,BE-ORDER-0010,PROJ-001,CUS-001,AP-RL-450,2518,2026-01-24,2026-03-06,delayed,PM-003,,2026-01-24T09:00:00,2026-06-01T09:00:00
ORD-00011,BE-ORDER-0011,PROJ-001,CUS-005,AP-CB-510,4128,2026-01-04,2026-01-31,delayed,PM-003,ISS-2025-009,2026-01-04T09:00:00,2026-06-01T09:00:00
ORD-00012,BE-ORDER-0012,PROJ-001,CUS-002,AP-CN-204,2865,2025-08-12,2025-09-09,delayed,PM-002,ISS-2026-004,2025-08-12T09:00:00,2026-06-01T09:00:00
ORD-00013,BE-ORDER-0013,PROJ-001,CUS-003,AP-SC-330,2495,2026-02-01,2026-02-14,confirmed,PM-004,ISS-2026-003,2026-02-01T09:00:00,2026-06-01T09:00:00
ORD-00014,BE-ORDER-0014,PROJ-001,CUS-002,AP-CN-204,3898,2025-11-14,2025-11-25,shipped,PM-003,ISS-2026-004,2025-11-14T09:00:00,2026-06-01T09:00:00
ORD-00015,BE-ORDER-0015,PROJ-001,CUS-005,AP-TM-118,2150,2026-02-25,2026-03-04,shipped,PM-004,ISS-2026-001,2026-02-25T09:00:00,2026-06-01T09:00:00
ORD-00016,BE-ORDER-0016,PROJ-001,CUS-001,AP-WH-220,655,2025-12-23,2026-01-07,delayed,PM-003,ISS-2025-008,2025-12-23T09:00:00,2026-06-01T09:00:00
ORD-00017,BE-ORDER-0017,PROJ-001,CUS-002,AP-RL-450,4774,2025-06-12,2025-06-20,confirmed,PM-004,,2025-06-12T09:00:00,2026-06-01T09:00:00
ORD-00018,BE-ORDER-0018,PROJ-001,CUS-002,AP-RL-450,5489,2026-03-17,2026-04-17,shipped,PM-004,,2026-03-17T09:00:00,2026-06-01T09:00:00
ORD-00019,BE-ORDER-0019,PROJ-001,CUS-004,AP-CB-510,4003,2025-09-30,2025-11-03,closed,PM-004,,2025-09-30T09:00:00,2026-06-01T09:00:00
ORD-00020,BE-ORDER-0020,PROJ-001,CUS-001,AP-WH-220,3875,2025-06-23,2025-08-06,delayed,PM-002,ISS-2025-008,2025-06-23T09:00:00,2026-06-01T09:00:00
ORD-00021,BE-ORDER-0021,PROJ-001,CUS-003,AP-SC-330,1257,2026-03-28,2026-05-07,closed,PM-004,ISS-2025-011,2026-03-28T09:00:00,2026-06-01T09:00:00
ORD-00022,BE-ORDER-0022,PROJ-001,CUS-005,AP-CB-510,4260,2025-06-07,2025-06-25,closed,PM-004,ISS-2025-009,2025-06-07T09:00:00,2026-06-01T09:00:00
ORD-00023,BE-ORDER-0023,PROJ-001,CUS-003,AP-CB-510,2740,2025-06-11,2025-07-26,shipped,PM-003,ISS-2025-010,2025-06-11T09:00:00,2026-06-01T09:00:00
ORD-00024,BE-ORDER-0024,PROJ-001,CUS-003,AP-CB-510,987,2026-02-05,2026-02-22,confirmed,PM-002,ISS-2025-010,2026-02-05T09:00:00,2026-06-01T09:00:00
ORD-00025,BE-ORDER-0025,PROJ-001,CUS-004,AP-RL-450,984,2025-09-19,2025-10-14,closed,PM-003,ISS-2025-012,2025-09-19T09:00:00,2026-06-01T09:00:00
ORD-00026,BE-ORDER-0026,PROJ-001,CUS-004,AP-RL-450,2700,2026-05-21,2026-06-01,shipped,PM-003,ISS-2025-007,2026-05-21T09:00:00,2026-06-01T09:00:00
ORD-00027,BE-ORDER-0027,PROJ-001,CUS-004,AP-RL-450,2381,2026-04-07,2026-04-29,shipped,PM-002,ISS-2025-007,2026-04-07T09:00:00,2026-06-01T09:00:00
ORD-00028,BE-ORDER-0028,PROJ-001,CUS-003,AP-SC-330,3787,2026-03-28,2026-05-06,shipped,PM-003,ISS-2026-003,2026-03-28T09:00:00,2026-06-01T09:00:00
ORD-00029,BE-ORDER-0029,PROJ-001,CUS-005,AP-CB-510,4025,2025-12-18,2026-01-09,confirmed,PM-003,ISS-2026-006,2025-12-18T09:00:00,2026-06-01T09:00:00
ORD-00030,BE-ORDER-0030,PROJ-001,CUS-002,AP-CN-204,5097,2025-09-06,2025-09-21,closed,PM-004,ISS-2025-006,2025-09-06T09:00:00,2026-06-01T09:00:00
ORD-00031,BE-ORDER-0031,PROJ-001,CUS-002,AP-CN-204,1373,2025-06-08,2025-07-12,closed,PM-004,ISS-2026-008,2025-06-08T09:00:00,2026-06-01T09:00:00
