id,project_id,source_type,source_id,business_entity_id,link_type,link_reason,confidence_score,created_at
EL-00001,PROJ-001,document,DOC-0001,BE-ORDER-0003,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00002,PROJ-001,document,DOC-0001,BE-ORDER-0031,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00003,PROJ-001,document,DOC-0001,BE-ORDER-0034,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00004,PROJ-001,document,DOC-0001,BE-ORDER-0068,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00005,PROJ-001,document,DOC-0001,BE-ORDER-0084,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00006,PROJ-001,document,DOC-0001,BE-ORDER-0085,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00007,PROJ-001,document,DOC-0003,BE-ORDER-0003,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00008,PROJ-001,document,DOC-0003,BE-ORDER-0031,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00009,PROJ-001,document,DOC-0003,BE-ORDER-0034,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00010,PROJ-001,document,DOC-0003,BE-ORDER-0068,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00011,PROJ-001,document,DOC-0003,BE-ORDER-0084,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00012,PROJ-001,document,DOC-0003,BE-ORDER-0085,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00013,PROJ-001,document,DOC-0004,BE-ORDER-0003,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00014,PROJ-001,document,DOC-0004,BE-ORDER-0031,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00015,PROJ-001,document,DOC-0004,BE-ORDER-0034,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00016,PROJ-001,document,DOC-0004,BE-ORDER-0068,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00017,PROJ-001,document,DOC-0004,BE-ORDER-0084,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00018,PROJ-001,document,DOC-0004,BE-ORDER-0085,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00019,PROJ-001,document,DOC-0005,BE-ORDER-0003,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00020,PROJ-001,document,DOC-0005,BE-ORDER-0031,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00021,PROJ-001,document,DOC-0005,BE-ORDER-0034,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00022,PROJ-001,document,DOC-0005,BE-ORDER-0068,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00023,PROJ-001,document,DOC-0005,BE-ORDER-0084,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00024,PROJ-001,document,DOC-0005,BE-ORDER-0085,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00025,PROJ-001,document,DOC-0006,BE-ORDER-0003,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00026,PROJ-001,document,DOC-0006,BE-ORDER-0031,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00027,PROJ-001,document,DOC-0006,BE-ORDER-0034,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00028,PROJ-001,document,DOC-0006,BE-ORDER-0068,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00029,PROJ-001,document,DOC-0006,BE-ORDER-0084,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00030,PROJ-001,document,DOC-0006,BE-ORDER-0085,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00031,PROJ-001,document,DOC-0007,BE-ORDER-0003,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00032,PROJ-001,document,DOC-0007,BE-ORDER-0031,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00033,PROJ-001,document,DOC-0007,BE-ORDER-0034,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00034,PROJ-001,document,DOC-0007,BE-ORDER-0068,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00035,PROJ-001,document,DOC-0007,BE-ORDER-0084,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00036,PROJ-001,document,DOC-0007,BE-ORDER-0085,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00037,PROJ-001,document,DOC-0009,BE-ORDER-0003,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00038,PROJ-001,document,DOC-0009,BE-ORDER-0031,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00039,PROJ-001,document,DOC-0009,BE-ORDER-0034,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00040,PROJ-001,document,DOC-0009,BE-ORDER-0068,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00041,PROJ-001,document,DOC-0009,BE-ORDER-0084,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00042,PROJ-001,document,DOC-0009,BE-ORDER-0085,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00043,PROJ-001,document,DOC-0010,BE-ORDER-0003,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00044,PROJ-001,document,DOC-0010,BE-ORDER-0031,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00045,PROJ-001,document,DOC-0010,BE-ORDER-0034,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00046,PROJ-001,document,DOC-0010,BE-ORDER-0068,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00047,PROJ-001,document,DOC-0010,BE-ORDER-0084,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00048,PROJ-001,document,DOC-0010,BE-ORDER-0085,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00049,PROJ-001,document,DOC-0011,BE-ORDER-0003,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00050,PROJ-001,document,DOC-0011,BE-ORDER-0031,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00051,PROJ-001,document,DOC-0011,BE-ORDER-0034,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00052,PROJ-001,document,DOC-0011,BE-ORDER-0068,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00053,PROJ-001,document,DOC-0011,BE-ORDER-0084,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00054,PROJ-001,document,DOC-0011,BE-ORDER-0085,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00055,PROJ-001,document,DOC-0012,BE-ORDER-0003,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00056,PROJ-001,document,DOC-0012,BE-ORDER-0031,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00057,PROJ-001,document,DOC-0012,BE-ORDER-0034,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00058,PROJ-001,document,DOC-0012,BE-ORDER-0068,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00059,PROJ-001,document,DOC-0012,BE-ORDER-0084,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00060,PROJ-001,document,DOC-0012,BE-ORDER-0085,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00061,PROJ-001,document,DOC-0013,BE-ORDER-0027,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00062,PROJ-001,document,DOC-0013,BE-ORDER-0028,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00063,PROJ-001,document,DOC-0013,BE-ORDER-0033,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00064,PROJ-001,document,DOC-0013,BE-ORDER-0055,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00065,PROJ-001,document,DOC-0013,BE-ORDER-0096,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00066,PROJ-001,document,DOC-0013,BE-ORDER-0109,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00067,PROJ-001,document,DOC-0017,BE-ORDER-0027,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00068,PROJ-001,document,DOC-0017,BE-ORDER-0028,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00069,PROJ-001,document,DOC-0017,BE-ORDER-0033,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00070,PROJ-001,document,DOC-0017,BE-ORDER-0055,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00071,PROJ-001,document,DOC-0017,BE-ORDER-0096,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00072,PROJ-001,document,DOC-0017,BE-ORDER-0109,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00073,PROJ-001,document,DOC-0021,BE-ORDER-0027,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00074,PROJ-001,document,DOC-0021,BE-ORDER-0028,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00075,PROJ-001,document,DOC-0021,BE-ORDER-0033,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00076,PROJ-001,document,DOC-0021,BE-ORDER-0055,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00077,PROJ-001,document,DOC-0021,BE-ORDER-0096,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00078,PROJ-001,document,DOC-0021,BE-ORDER-0109,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00079,PROJ-001,document,DOC-0022,BE-ORDER-0027,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00080,PROJ-001,document,DOC-0022,BE-ORDER-0028,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00081,PROJ-001,document,DOC-0022,BE-ORDER-0033,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00082,PROJ-001,document,DOC-0022,BE-ORDER-0055,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
EL-00083,PROJ-001,document,DOC-0022,BE-ORDER-0096,source,source_document_index.related_issue_id 기반 연결,0.88,2026-06-01T09:00:00
