id,project_id,user_id,role,status,created_at,updated_at
PM-001,PROJ-001,USER-001,admin,active,2026-06-01T09:00:00,2026-06-01T09:00:00
PM-002,PROJ-001,USER-002,manager,active,2026-06-01T09:00:00,2026-06-01T09:00:00
PM-003,PROJ-001,USER-003,user,active,2026-06-01T09:00:00,2026-06-01T09:00:00
PM-004,PROJ-001,USER-004,user,active,2026-06-01T09:00:00,2026-06-01T09:00:00
PM-005,PROJ-001,USER-005,manager,active,2026-06-01T09:00:00,2026-06-01T09:00:00
PM-006,PROJ-001,USER-006,user,active,2026-06-01T09:00:00,2026-06-01T09:00:00
PM-007,PROJ-001,USER-007,user,active,2026-06-01T09:00:00,2026-06-01T09:00:00
PM-008,PROJ-001,USER-008,manager,active,2026-06-01T09:00:00,2026-06-01T09:00:00
PM-009,PROJ-001,USER-009,user,active,2026-06-01T09:00:00,2026-06-01T09:00:00
PM-010,PROJ-001,USER-010,user,active,2026-06-01T09:00:00,2026-06-01T09:00:00
PM-011,PROJ-001,USER-011,manager,active,2026-06-01T09:00:00,2026-06-01T09:00:00
PM-012,PROJ-001,USER-012,user,active,2026-06-01T09:00:00,2026-06-01T09:00:00
PM-013,PROJ-001,USER-013,user,active,2026-06-01T09:00:00,2026-06-01T09:00:00
PM-014,PROJ-001,USER-014,admin,active,2026-06-01T09:00:00,2026-06-01T09:00:00
