id,business_entity_id,project_id,supplier_id,product_id,quantity,po_date,expected_arrival_date,actual_arrival_date,status,purchase_owner_member_id,related_issue_id,created_at,updated_at
PO-00001,BE-PO-0001,PROJ-001,SUP-002,AP-TM-118,3188,2026-03-05,2026-04-16,2026-04-30,partially_received,PM-005,ISS-2025-013,2026-03-05T09:00:00,2026-06-01T09:00:00
PO-00002,BE-PO-0002,PROJ-001,SUP-004,AP-SC-330,5588,2026-01-29,2026-03-05,2026-03-03,delayed,PM-007,ISS-2026-003,2026-01-29T09:00:00,2026-06-01T09:00:00
PO-00003,BE-PO-0003,PROJ-001,SUP-003,AP-RL-450,5602,2026-02-08,2026-04-10,2026-04-17,partially_received,PM-006,ISS-2025-012,2026-02-08T09:00:00,2026-06-01T09:00:00
PO-00004,BE-PO-0004,PROJ-001,SUP-005,AP-RL-450,3974,2025-10-01,2025-12-07,2025-12-10,received,PM-006,ISS-2025-007,2025-10-01T09:00:00,2026-06-01T09:00:00
PO-00005,BE-PO-0005,PROJ-001,SUP-002,AP-WH-220,3658,2025-07-18,2025-09-04,2025-09-11,open,PM-005,,2025-07-18T09:00:00,2026-06-01T09:00:00
PO-00006,BE-PO-0006,PROJ-001,SUP-001,AP-CN-204,4501,2025-08-28,2025-09-17,2025-10-01,received,PM-007,ISS-2026-008,2025-08-28T09:00:00,2026-06-01T09:00:00
PO-00007,BE-PO-0007,PROJ-001,SUP-001,AP-CN-204,7387,2025-06-30,2025-08-12,2025-08-26,delayed,PM-006,ISS-2026-004,2025-06-30T09:00:00,2026-06-01T09:00:00
PO-00008,BE-PO-0008,PROJ-001,SUP-002,AP-WH-220,4302,2026-01-01,2026-01-27,2026-01-27,partially_received,PM-007,ISS-2025-008,2026-01-01T09:00:00,2026-06-01T09:00:00
PO-00009,BE-PO-0009,PROJ-001,SUP-001,AP-SC-330,1395,2025-10-17,2025-12-04,2025-12-02,open,PM-006,ISS-2026-009,2025-10-17T09:00:00,2026-06-01T09:00:00
PO-00010,BE-PO-0010,PROJ-001,SUP-004,AP-SC-330,590,2025-08-02,2025-10-06,2025-10-04,open,PM-007,ISS-2025-011,2025-08-02T09:00:00,2026-06-01T09:00:00
