shipment_id,shipment_date,customer_id,product_id,quantity,carrier,shipping_method,expected_delivery_date,actual_delivery_date,shipment_status,logistics_owner,related_issue_id
SHP-2022-0001,2022-01-10,CUST-002,PROD-001,3507,CJ Logistics,Truck,2022-01-12,,in_progress,윤예린,ISSUE-2022-001
SHP-2022-0002,2022-03-09,CUST-001,PROD-002,2249,Hanjin,Truck,2022-03-14,,in_progress,임가은,ISSUE-2022-002
SHP-2022-0003,2022-04-15,CUST-005,PROD-005,2363,DHL,Ocean,2022-04-21,2022-04-22,delivered,문태오,ISSUE-2022-003
SHP-2022-0004,2022-05-25,CUST-003,PROD-003,4230,Korea Post,Truck,2022-06-02,,in_progress,윤예린,ISSUE-2022-004
SHP-2022-0005,2022-07-29,CUST-004,PROD-004,3362,CJ Logistics,Truck,2022-08-02,,in_progress,임가은,ISSUE-2022-005
SHP-2022-0006,2022-08-11,CUST-001,PROD-001,4102,Hanjin,Truck,2022-08-16,2022-08-17,delivered,문태오,ISSUE-2022-006
SHP-2022-0007,2022-10-09,CUST-004,PROD-001,685,DHL,Truck,2022-10-14,,in_progress,윤예린,ISSUE-2022-007
SHP-2022-0008,2022-12-14,CUST-003,PROD-004,3962,Korea Post,Truck,2022-12-18,,in_progress,임가은,ISSUE-2022-008
SHP-2022-0009,2022-02-10,CUST-001,PROD-005,2298,CJ Logistics,Truck,2022-02-13,,in_progress,문태오,ISSUE-2022-009
SHP-2022-0010,2022-02-25,CUST-002,PROD-001,4617,Hanjin,Truck,2022-03-03,2022-03-02,delivered,윤예린,ISSUE-2022-010
SHP-2022-0011,2022-06-02,CUST-003,PROD-003,2291,DHL,Truck,2022-06-16,2022-06-16,delivered,임가은,ISSUE-2022-011
SHP-2022-0012,2022-06-19,CUST-004,PROD-006,2617,Korea Post,Truck,2022-07-03,2022-07-04,delivered,문태오,ISSUE-2022-012
SHP-2022-0013,2022-09-08,CUST-005,PROD-004,3199,CJ Logistics,Ocean,2022-09-16,,in_progress,윤예린,ISSUE-2022-013
SHP-2022-0014,2022-09-26,CUST-002,PROD-001,1081,Hanjin,Truck,2022-10-08,,in_progress,임가은,ISSUE-2022-014
SHP-2022-0015,2022-11-14,CUST-005,PROD-002,4049,DHL,Ocean,2022-11-28,2022-11-29,delivered,문태오,ISSUE-2022-015
SHP-2022-0016,2022-11-16,CUST-002,PROD-001,1094,Korea Post,Truck,2022-11-25,,in_progress,윤예린,ISSUE-2022-016
SHP-2022-0017,2022-01-14,CUST-002,PROD-001,3530,CJ Logistics,Truck,2022-01-21,,in_progress,임가은,ISSUE-2022-001
SHP-2022-0018,2022-03-14,CUST-001,PROD-002,1051,Hanjin,Truck,2022-03-25,,in_progress,문태오,ISSUE-2022-002
SHP-2022-0019,2022-04-18,CUST-005,PROD-005,515,DHL,Ocean,2022-05-02,2022-05-01,delivered,윤예린,ISSUE-2022-003
SHP-2022-0020,2022-05-31,CUST-003,PROD-003,352,Korea Post,Truck,2022-06-05,,in_progress,임가은,ISSUE-2022-004
SHP-2022-0021,2022-07-01,CUST-004,PROD-004,4081,CJ Logistics,Truck,2022-07-13,,in_progress,문태오,ISSUE-2022-005
SHP-2022-0022,2022-08-16,CUST-001,PROD-001,646,Hanjin,Truck,2022-08-21,2022-08-20,delivered,윤예린,ISSUE-2022-006
SHP-2022-0023,2022-10-15,CUST-004,PROD-001,3678,DHL,Truck,2022-10-17,,in_progress,임가은,ISSUE-2022-007
SHP-2022-0024,2022-12-19,CUST-003,PROD-004,275,Korea Post,Truck,2022-12-25,,in_progress,문태오,ISSUE-2022-008
SHP-2022-0025,2022-02-12,CUST-001,PROD-005,195,CJ Logistics,Truck,2022-02-19,,in_progress,윤예린,ISSUE-2022-009
SHP-2022-0026,2022-02-17,CUST-002,PROD-001,3833,Hanjin,Truck,2022-02-27,2022-02-27,delivered,임가은,ISSUE-2022-010
SHP-2022-0027,2022-06-05,CUST-003,PROD-003,1616,DHL,Truck,2022-06-09,2022-06-10,delivered,문태오,ISSUE-2022-011
SHP-2022-0028,2022-06-22,CUST-004,PROD-006,4021,Korea Post,Truck,2022-06-27,2022-06-26,delivered,윤예린,ISSUE-2022-012
SHP-2022-0029,2022-09-10,CUST-005,PROD-004,4222,CJ Logistics,Ocean,2022-09-13,,in_progress,임가은,ISSUE-2022-013
SHP-2022-0030,2022-09-29,CUST-002,PROD-001,2507,Hanjin,Truck,2022-10-12,,in_progress,문태오,ISSUE-2022-014
SHP-2022-0031,2022-11-02,CUST-005,PROD-002,1816,DHL,Ocean,2022-11-13,2022-11-12,delivered,윤예린,ISSUE-2022-015
SHP-2022-0032,2022-11-19,CUST-002,PROD-001,649,Korea Post,Truck,2022-11-23,,in_progress,임가은,ISSUE-2022-016
SHP-2022-0033,2022-01-19,CUST-002,PROD-001,4427,CJ Logistics,Truck,2022-01-27,,in_progress,문태오,ISSUE-2022-001
SHP-2022-0034,2022-03-20,CUST-001,PROD-002,3259,Hanjin,Truck,2022-03-24,,in_progress,윤예린,ISSUE-2022-002
SHP-2022-0035,2022-04-22,CUST-005,PROD-005,954,DHL,Ocean,2022-04-28,2022-04-28,delivered,임가은,ISSUE-2022-003
SHP-2022-0036,2022-05-09,CUST-003,PROD-003,1020,Korea Post,Truck,2022-05-13,,in_progress,문태오,ISSUE-2022-004
SHP-2022-0037,2022-07-08,CUST-004,PROD-004,1316,CJ Logistics,Truck,2022-07-14,,in_progress,윤예린,ISSUE-2022-005
SHP-2022-0038,2022-08-21,CUST-001,PROD-001,3173,Hanjin,Truck,2022-08-27,2022-08-27,delivered,임가은,ISSUE-2022-006
SHP-2022-0039,2022-10-22,CUST-004,PROD-001,1636,DHL,Truck,2022-10-31,,in_progress,문태오,ISSUE-2022-007
SHP-2022-0040,2022-12-23,CUST-003,PROD-004,445,Korea Post,Truck,2022-12-28,,in_progress,윤예린,ISSUE-2022-008
SHP-2022-0041,2022-02-03,CUST-001,PROD-005,3099,CJ Logistics,Truck,2022-02-17,,in_progress,임가은,ISSUE-2022-009
SHP-2022-0042,2022-02-19,CUST-002,PROD-001,1353,Hanjin,Truck,2022-02-24,2022-02-25,delivered,문태오,ISSUE-2022-010
