source_id,id,project_id,title,status,priority,linked_issue_id,assignee_member_id
TODO-ISSUE-2022-001,3f0c1797-d376-547c-8f91-8355b9f8f060,586d5511-0afc-5d93-bbec-d3955db635ac,[PREVIEW] 설 연휴 전 긴급 출고 일정 혼선 확인,open,medium,660fc28e-13d8-5844-bf5d-143118487cc2,
TODO-ISSUE-2022-002,c37a9d44-1193-5f6d-bad4-91dfda4888ca,586d5511-0afc-5d93-bbec-d3955db635ac,[PREVIEW] 구매처 재고 부족과 대체품 검토 확인,open,high,4ea4b7d7-ebed-5515-83ef-dec554d733dc,
TODO-ISSUE-2022-003,f3dfde98-d1bb-5fb7-8e7a-7911256536ce,586d5511-0afc-5d93-bbec-d3955db635ac,[PREVIEW] 수출 서류 누락으로 통관 지연 확인,open,medium,be573096-3d00-5452-9975-f254cc014e73,
TODO-ISSUE-2022-004,a87b9565-6299-5732-ab58-32b01d06f6f7,586d5511-0afc-5d93-bbec-d3955db635ac,[PREVIEW] 반복 불량과 고객 조립 문제 사이 클레임 확인,open,high,caa0576a-2aa9-5f99-a1f1-a3f2dfd6b90d,
TODO-ISSUE-2022-005,8169b2dd-1411-5c8b-b1de-960c5f4f688c,586d5511-0afc-5d93-bbec-d3955db635ac,[PREVIEW] 리드타임 변경 공지와 고객 발주 일정 충돌 확인,open,high,266a60af-e367-571d-b464-296b68480018,
TODO-ISSUE-2022-006,8bd3ed9b-db67-5e6e-a481-9f75fd22c1bb,586d5511-0afc-5d93-bbec-d3955db635ac,[PREVIEW] 항공 이송 전환 비용 승인 지연 확인,open,medium,ef79a62f-deca-5e01-85c3-c3e599e0c293,
TODO-ISSUE-2022-007,d45d2612-cb2e-5104-af49-8143617f89a2,586d5511-0afc-5d93-bbec-d3955db635ac,[PREVIEW] 단가 인상 공지와 기존 견적 적용 기준 충돌 확인,open,high,f62de1f2-9e7b-5904-a3fa-3f7af89c113e,
TODO-ISSUE-2022-008,c99a8f26-0a61-5c29-8c59-684f1f4200b5,586d5511-0afc-5d93-bbec-d3955db635ac,[PREVIEW] 담당자 부재로 고객 회신 누락 확인,open,medium,cc4b2d10-8d1f-566d-bc53-e5fe8d07cbf3,
TODO-ISSUE-2022-009,d582e12e-170c-51fd-ae20-3a151a340ca6,586d5511-0afc-5d93-bbec-d3955db635ac,[PREVIEW] 2월 고객 납기 재확인 확인,open,low,5f6428e5-c725-5fe6-97f2-9c55e42ca7b7,
TODO-ISSUE-2022-010,a2106057-b62e-5f61-9c27-f86dc40af970,586d5511-0afc-5d93-bbec-d3955db635ac,[PREVIEW] 2월 품목 코드 오기입 확인,open,low,ab1c7956-e348-5070-88af-87bbcecf4892,
TODO-ISSUE-2022-011,a439fbaf-b1f2-5dd2-9935-b737c6989a51,586d5511-0afc-5d93-bbec-d3955db635ac,[PREVIEW] 6월 구매처 회신 지연 확인,open,medium,8beb5eae-a179-5fcb-9191-01ebc69139c2,
TODO-ISSUE-2022-012,fc10e728-73c5-5a77-b2da-1348de31ee45,586d5511-0afc-5d93-bbec-d3955db635ac,[PREVIEW] 6월 출고 수량 정정 확인,open,medium,f2bd2dd6-6596-5345-9059-31c6b407150e,
TODO-ISSUE-2022-013,8a2e6144-ee26-52ae-b929-707684f8d35a,586d5511-0afc-5d93-bbec-d3955db635ac,[PREVIEW] 9월 내부 담당자 변경 확인,open,low,0b7d9f49-cd66-5ae1-b71d-c4a69cfe965a,
TODO-ISSUE-2022-014,cd2b1e55-ab0b-51ca-9808-02983ad8a190,586d5511-0afc-5d93-bbec-d3955db635ac,[PREVIEW] 9월 반복 Todo 미완료 확인,open,medium,6499bd8b-a3fc-5437-8067-5be8fcbad15f,
TODO-ISSUE-2022-015,b43f2e51-350a-5cf7-af62-40115b59a48c,586d5511-0afc-5d93-bbec-d3955db635ac,[PREVIEW] 11월 월말 마감 확인 확인,open,low,1ead51db-07dd-5124-9310-57c84b47868f,
TODO-ISSUE-2022-016,9c22d7c8-5ba9-57e9-966b-51223ddd68f2,586d5511-0afc-5d93-bbec-d3955db635ac,[PREVIEW] 11월 고객 단가 업데이트 누락 확인,open,medium,eb42277b-2aee-51ec-bc4f-b46b6820323c,
